NAZWA_PRZEDSIEBIORCY+A1:H1;NAZWA_PUNKTU;MIEJSCOWOSC;ULICA;NR_BUD;TYP_PUNKTU;NR_LOK;ADRES_OPISOWY
ZWI•ZEK NAUCZYCIELSTWA POLSKIEGO;"RESTAURACJA W ZG - HOTEL ""LOGOS""";GDA—SK;UL. UPHAGENA;28;GASTRONOMIA;;
ORBIS S.A.;HOTEL NOVOTEL MARINA;GDA—SK;UL. JELITKOWSKA;20;GASTRONOMIA;;
HOTEL REZYDENT - GDA—SK  SP. Z O.O.;"RESTUARACJA W HOTELU ""REZYDENT GDA—SK""";GDA—SK;UL. D£UGI TARG;19;GASTRONOMIA;;
US£UGI åLUSARSKO-SPAWALNICZE JACEK CICHOCKI, TERMINAL-PUB;"BAR ""MOTO PUB""";GDA—SK;UL. WA£Y JAGIELLO—SKIE;2;GASTRONOMIA;4;
WEINHAUS JAKOB GERHARDT-POLONIA SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;"WINIARNIA ""PROBIERNIA WIN""";GDA—SK;UL. TARG W GLOWY;6;GASTRONOMIA;;
TYCZY—SKA JANINA BAR KAWOWY NESCA;"BAR ""ALBATROS""";GDA—SK;UL. CHWASZCZY—SKA;2A;GASTRONOMIA;;
JOLANTA CYDEJKO SKLEP SPOØYWCZO PRZEMYS£OWY;BAR GASTRONOMICZNY;GDA—SK;UL. åWIBNIE—SKA;34;GASTRONOMIA;;
CORNER PUB, BOGUMI£A GAJOS;BAR CORNER PUB;;;;GASTRONOMIA;;GDA—SK, UL. HALLERA R”G BRZEèNIE—SKIEJ
MARASKA MAREK KRZOSKA I S-KA SP”£KA JAWNA;KAWIARNIA MARASKA;GDA—SK;UL. D£UGA;31/32;GASTRONOMIA;;
BAR BISTRO BURCZYK MAREK;BAR BISTRO;GDA—SK;UL. W£ADYS£AWA CIESZY—SKIEGO;38;GASTRONOMIA;32;
WALEWSCY SZYMON WALEWSKI (WSP”LNIK SP”£KI CYWILNEJ);"RESTAURACJA W HOTELU ""PANI WALEWSKA""";GDA—SK;UL. KARTUSKA;477;GASTRONOMIA;;
EMEK FEVZI HARBELIOGLU;BAR NOKTA KEBAB;GDA—SK;UL. SZEROKA;8;GASTRONOMIA;10;
SUPREMUM PATRYK MA∆KOWIAK;"PUB ""SZOCIK""";GDA—SK;UL. PIWNA;52;GASTRONOMIA;53;
OLIWA DO OGNIA TOMASZ TEKIELI;PIZZERIA OLIWA DO OGNIA;GDA—SK;UL. GARNCARSKA;10;GASTRONOMIA;16A;
BARMAN PIOTR MACHALI—SKI;KLUB BILARDOWY;GDA—SK;UL. STANIS£AWA WYSPIA—SKIEGO;9;GASTRONOMIA;;
"BAR GASTRONOMICZNY ""PRZYSTA—"" WOJCIECH MADERSKI";"BAR ""PRZYSTA—""";GDA—SK;UL. MJR. HENRYKA SUCHARSKIEGO;R”G POK£AD;GASTRONOMIA;;
ASAP S.C. ROMAN ANIMUCKI, ANITA R•PCA, KAMIL MA£YSZKO, REMIGIUSZ GALA;RESTAURACJA HASHI SUSHI;GDA—SK;UL. ALEJA RZECZYPOSPOLITEJ;4;GASTRONOMIA;149;
HBJ - BARTOSZ DYJECI—SKI;BAR;GDA—SK;UL. KARMELICKA;1;GASTRONOMIA;;
"PUB ""SP”£DZIELNIA"" GRZEGORZ NAJDA";"PUB ""SP”£DZIELNIA""";GDA—SK;UL. ANTONIEGO ABRAHAMA;7;GASTRONOMIA;;
APERIS ANDRZEJ PYTLAK;BAR SEZONOWY;;;;GASTRONOMIA;;PIASTOWSKA / JANTAROWA WEJSCIE NA PLAØ  NR 63 GDA—SK
GASTRONOMIA D£UGI TARG S.C. JULIA PELLOWSKA APAC SP. Z O.O. SP. KOM.;BAR;GDA—SK;UL. D£UGI TARG;22;GASTRONOMIA;23;
MANDU S.C. DOROTA SEMENIUK, MACIEJ SEMENIUK;"PIEROGARNIA ""MANDU""";GDA—SK;UL. KAPR”W;19D;GASTRONOMIA;;
METAMORFOZA TADUESZ ZDUNEK;"RESTAURACJA ""METAMORFOZA""";GDA—SK;UL. SZEROKA;22/23;GASTRONOMIA;24/26;
HOTEL PODEWILS SP. Z O.O.;RESTAURACJA W HOTELU PODEWILS;GDA—SK;UL. SZAFARNIA;2-3;GASTRONOMIA;;
COSTA COFFEE POLSKA SA;"KAWIARNIA ""COSTA COFFEE""";GDA—SK;UL. D£UGA;5/6/7/8;GASTRONOMIA;;
MAKSYMILIAN KRZYWKOWSKI M•KA I KAWA;"RESTAURACJA ""M•KA I KAWA""";GDA—SK;UL. JANA KILI—SKIEGO;4;GASTRONOMIA;;
FILIP W”JCIKIEWICZ;HOTEL HILTON;GDA—SK;UL. TARG RYBNY;1;GASTRONOMIA;;
RESTAURACJA BAZAR S£AWOMIR FLOREK;RESTAURACJA BAZAR;GDA—SK;UL. SZAFARNIA;5/6/7;GASTRONOMIA;U3;
FOODCATERING RESTAURACJE I EVENTY PIOTR SADOWSKI;RESTAURACJA CORREZE;GDA—SK;UL. STARA STOCZNIA;2;GASTRONOMIA;7;
ART DESIGN S.C. BAR CHILLY WILLY;"BAR ""CHILLY WILLY""";GDA—SK;UL. JANTAROWA;16;GASTRONOMIA;;
RESTAURACJA DOMINIKA—SKA WALDEMAR MACIEJEWSKI;"RESTAURACJA ""DOMINIKA—SKA""";GDA—SK;UL. GARBARY;2;GASTRONOMIA;4;
BART£OMIEJ SADOWSKI FAMILY & BUSINESS CATERING;BAR FAMILY & BUSINESS BISTRO;GDA—SK;UL. DO STUDZIENKI;23;GASTRONOMIA;;
GREEN & BARREL SP. Z O.O. SP. KOMANDYTOWA;"RESTAURACJA ""PROLOGUE RESTAURANT & BAR""";GDA—SK;UL. GRODZKA;9;GASTRONOMIA;;
PPHU DOMEK KRZYSZTOF DWORAK;"RESTAURACJA ""CZARNA KOZA ZAGRODA""";GDA—SK;UL. KONSTANTEGO ILDEFONSA GA£CZY—SKIEGO;4;GASTRONOMIA;;
SATURN LESZEK CHRUåLI—SKI;"BAR ""3 BURGER""";GDA—SK;UL. RAJSKA;1;GASTRONOMIA;5A;
FEDERICO BOAGER;"RESTAURACJA ""ALLORA""";GDA—SK;UL. GROBLA III;1/6D;GASTRONOMIA;;
MATANGEL SP. Z O.O.;"BAR ""AMSTERDAM""";GDA—SK;UL. GARBARY;6;GASTRONOMIA;7;
"MARCIN FRANIA ""BISTRO LEMONIADA""";"PIZZERIA ""DZIUPLA""";GDA—SK;UL. WAC£AWA BALCERSKIEGO;14B;GASTRONOMIA;;
CYBERSPACE DAMIAN KASKA PIOTR SMUTEK (WSP”LNICY SC);"PUB ""CYBERMACHINA""";GDA—SK;UL. OKOPOWA;7;GASTRONOMIA;;
KUPIEC POMORSKI KRZYSZTOF KWIECIE—;"KAWIARNIA ""CZEKOLADOWNIA""";GDA—SK;UL. PIWNA;16;GASTRONOMIA;;
KUPIEC POMORSKI KRZYSZTOF KWIECIE—;"KAWIARNIA ""PIKAWA""";GDA—SK;UL. PIWNA;14/15;GASTRONOMIA;;
BANANOWY SONG - MAREK MITYGOWSKI;"BAR NA PLAØY ""BANANOWY SONG""";GDA—SK;UL. P”£NOCNA;-;GASTRONOMIA;;
DRAGON BAR - SANECKA DANUTA;BAR DRAGON;GDA—SK;UL. åWIBNIE—SKA;22;GASTRONOMIA;;
"F.H.U. ""ALEXA"" ALEKSANDRA RADAWIEC";"PIZZERIA ""DOKER""";GDA—SK;UL. WILK”W MORSKICH;9;GASTRONOMIA;;
TAWERNA DOMINIKA—SKA IRENEUSZ SZYD£OWSKI;TAWERNA DOMINIKA—SKA;GDA—SK;UL. TARG RYBNY;9;GASTRONOMIA;;
RESTAURACJA CZARDASZ ANDRZEJ GRABOWSKI;"RESTAURACJA ""CZARDASZ""";GDA—SK;UL. åL•SKA;66;GASTRONOMIA;B;
POD SOSNAMI GABRIELA SAJNA-BARCZAK;BAR POD SOSNAMI;GDA—SK;UL. BARWNA;1;GASTRONOMIA;;
RESTAURACJA GOLD TOWN GRAØYNA OSTROWSKA-MOTYKA;"RESTAURACJA ""GOLD TOWN""";GDA—SK;UL. AMUNDSENA;7C;GASTRONOMIA;;
"PUB ""AMNEZJA"" JACEK STARCZEWSKI";"PUB ""AMNEZJA""";GDA—SK;UL. ØWIRKI I WIGURY;4A;GASTRONOMIA;2;
VEGA  MARZENA KOWSZYK;RESTAURACJA VEGA;GDA—SK;UL. FALOWA;4A;GASTRONOMIA;;
"""PORTAL PUB"" SEBASTIAN SZCZ SNY";"BAR ""PORTAL PUB""";GDA—SK;UL. CZERWONY DW”R;26;GASTRONOMIA;;
FOOD & EVENTS CYGIERT, PILACHOWSCY SP. JAWNA;"RESTAURACJA ""TIME OUT""";GDA—SK;UL. PIWNA;3;GASTRONOMIA;4;
SEMPLICE URSZULA GALA;"RESTAURACJA ""TRATTORIA LA CANTINA""";GDA—SK;UL. D BINKI;7D;GASTRONOMIA;1;
WYNAJEM POKOI W£ADYS£AW PODG”RNY;"RESTAURACJA ""VOLTER""";GDA—SK;UL. KARTUSKA;362;GASTRONOMIA;B;
PYCHA JUSTYNA £ASZKIEWICZ;LOKAL ANIMA CAFE;GDA—SK;UL. åW. DUCHA;111/113;GASTRONOMIA;7;
WINNE GRONO ARKADIUSZ ONASCH;"RESTAURACJA ""WINNE GRONO""";GDA—SK;UL. MIKO£AJA KOPERNIKA;17A;GASTRONOMIA;;
HAJK SP. Z O.O. SP. KOMANDYTOWA;"RESTAURACJA ""AZZURRO""";GDA—SK;UL. SPACEROWA;51;GASTRONOMIA;;
FLAUTA RENATA OLSZEWSKA;BAR SEZONOWY;GDA—SK;UL. LAZUROWA;5;GASTRONOMIA;;
STAY INN, TOMASZ TOMCZAK, ANDRZEJ J”èWIAK, W£ADYS£AW FROST WSP”LNICY SP”£KI CYWILNEJ;"RESTAURACJA ""MONO KITCHEN""";GDA—SK;UL. PIWNA;28;GASTRONOMIA;31;
STAY INN, TOMASZ TOMCZAK, ANDRZEJ J”èWIAK, W£ADYS£AW FROST WSP”LNICY SP”£KI CYWILNEJ;BAR MORZE PASTA;GDA—SK;UL. KS. JERZEGO POPIE£USZKI;5;GASTRONOMIA;;
"PIZZERIA ""LEONE"" LECH KAèMIERCZYK";RESTAURANTE LEONE;GDA—SK;UL. DYWIZJI WO£Y—SKIEJ;1;GASTRONOMIA;7;
"PIZZERIA ""LEONE"" LECH KAèMIERCZYK";PIZZERIA LEONE;GDA—SK;UL. PTASIA;2;GASTRONOMIA;A;
PUB LEON MARCIN KLEIN;PUB LEON;GDA—SK;UL. JURATY;5;GASTRONOMIA;;
Z INNEJ PARAFII PATRYCJA KISIELEWSKA;"KAWIARNIA ""Z INNEJ PARAFII""";GDA—SK;UL. TARG RYBNY;6;GASTRONOMIA;A;
EN-T EWELINA NAJDYCHOR-TREDER;BAR RYWAL;GDA—SK;UL. FRANCISZKA HYNKA;25;GASTRONOMIA;;
KREATYWNA SP. Z O.O.;"KAWIARNIA ""KREATYWNA CAFE""";GDA—SK;UL. JULIUSZA S£OWACKIEGO;19;GASTRONOMIA;1.7.;
TEJST WINGERT I WSP”LNICY SP”£KA JAWNA;"BAR ""SURFBURGER""";GDA—SK;UL. W£ADYS£AWA CIESZY—SKIEGO;1C;GASTRONOMIA;;
SOUL BURGER BOKUN SP.K.;"BAR ""KOBO BURGER'";GDA—SK;UL. WARSZAWSKA;69;GASTRONOMIA;4.1.;
ROYAL RESIDENCE SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;"PENSJONAT ""ROYAL RESIDENCE""";GDA—SK;UL. NA ZBOCZU;67A;GASTRONOMIA;;
MATSON SP. Z O.O.;"RESTAURACJA ""KASZUBSKA MARINA""";GDA—SK;UL. D£UGA;45;GASTRONOMIA;;
GRANFISH SP. KOMANDYTOWA JWM NORD SP. Z O.O.;PUB ELEWATOR 19;GDA—SK;UL. SPICHRZOWA;19;GASTRONOMIA;;
KWIACIARNIA DAHLIA WALERIANNA BRODOWSKA;"KAWIARNIA ""PRAS”WKA""";GDA—SK;UL. BRZOZOWA;1;GASTRONOMIA;;
"MAREK GUTEK ""GRACIARNIA""";"PUB ""GRACIARNIA""";GDA—SK;UL. ROMANA DMOWSKIEGO;15;GASTRONOMIA;;
MMP MAREK BORTNOWSKI, MICHA£ WIS (WSP”LNICY SP”£KI CYWILNEJ);"PUB ""MA£A SZTUKA""";GDA—SK;UL. POWROèNICZA;13;GASTRONOMIA;15;
ALEKSANDRA NOWAK-KRAI—SKA;"RESTAURACJA ""DZIKI GON""";GDA—SK;UL. JAåKOWA DOLINA;114;GASTRONOMIA;;
CENTRUM BL SP. Z O.O.;"KAWIARNIA ""POCI•G DO...""";GDA—SK;UL. WARZYWNICZA;10D;GASTRONOMIA;;
AVOCADO JOANNA KRUPICKA DANIEL JARO∆ SP”LKA JAWNA;RESTUARACJA AVOCADO;GDA—SK;UL. OBRO—C”W WYBRZEØA;2;GASTRONOMIA;;
ROCOTILLIO S.C. EWA FRAZER JOANNA GO£U—SKA;"RESTAURACJA ""ROCOTILLIO""";GDA—SK;UL. ALEJA GRUNWALDZKA;472A;GASTRONOMIA;;
RAFA£ LIPI—SKI WALDEMAR LIPI—SKI WRTAURUS SP”£KA CYWILNA;RESTAURACJA MOTLAVA;GDA—SK;UL. STARA STOCZNIA;2;GASTRONOMIA;1;
GASTRO DOROTA SZARMACH;"BAR ""GASTRO""";GDA—SK;UL. POLITECHNICZNA;9;GASTRONOMIA;2;
"RESTAURACJA ""TAM GDZIE ZAWSZE"" MAREK POLASIK";"RESTAURACJA ""TAM GDZIE ZAWSZE""";GDA—SK;UL. CHMIELNA;72;GASTRONOMIA;1;
BIG BIRD MARCIN STEPOKURA;"PIZZERIA ""KRESKA M•KI""";GDA—SK;UL. JAåKOWA DOLINA;102B;GASTRONOMIA;;
GUANABANA SERWIS OWOCOWO-GASTRONOMICZNY DAMIAN KOSTECKI;"PIZZERIA ""MAGNIFICO""";GDA—SK;UL. RADAROWA;18;GASTRONOMIA;;
MMAWW  SP Z O.O.  RESTAURACJA  AMBER SIDE;RESTAURACJA AMBER SIDE;GDA—SK;UL. ØAGLOWA;11;GASTRONOMIA;;
MMAWW  SP Z O.O.  RESTAURACJA  AMBER SIDE;KOMPLEKS GASTRONOMICZNY - AMBER SIDE RESTAURANT AND BAR CORTEN CAFE;GDA—SK;UL. PLAC SOLIDARNOåCI;1;GASTRONOMIA;;
VIKA S.C. DAWIDOWSKA KAROLINA MOSPAN VICTOR;"BAR ""AMERICAN STARS""";GDA—SK;UL. ALEJA RZECZYPOSPOLITEJ;21C;GASTRONOMIA;;
BART£OMIEJ IRZY—SKI BART COM;"RESTAURACJA ""TUTTI SANTI""";GDA—SK;UL. ALEJA GRUNWALDZKA;211;GASTRONOMIA;;
ZAPPIO SP. Z O.O.;"HOSTEL ""DOM ZACHARIASZA ZAPPIO""";GDA—SK;UL. åWI TOJA—SKA;49;GASTRONOMIA;;
BARBOSSA DARIUSZ BOROWSKI;"BAR KEBAB ""BARBOSSA""";GDA—SK;UL. PODWALE GRODZKIE;2A;GASTRONOMIA;;
"BEATA ZALESKA - RESTAURACJA ""FELLINI""";"RESTAURACJA ""FELLINI""";GDA—SK;UL. TARG RYBNY;6B;GASTRONOMIA;C;
"BEATA ZALESKA - RESTAURACJA ""FELLINI""";"REST.""KUBICKI""";GDA—SK;UL. WARTKA;5;GASTRONOMIA;;
"""FILIP"" JAROS£AW PI•TEK";"BAR PIWNY ""FILIP"" - BUDYNEK MUROWANY";GDA—SK;UL. WA£Y PIASTOWSKIE;11/12;GASTRONOMIA;;
BAR CAIRA ROMAN MISZK;BARZE SEZONOWYM;GDA—SK;UL. WYDMY;1;GASTRONOMIA;;
"PHU ""CEZAR"" BEATA JADWIGA NOWAK";BAR CEZAR;GDA—SK;UL. SUCHARSKIEGO;70;GASTRONOMIA;;
ROBINSON S.C. RADOS£AW KUBICIEL I SYLWIA KUBICIEL;TAWERNA ROBINSON;GDA—SK;UL. FALOWA;10;GASTRONOMIA;;
AKME ALEKSANDRA MUSIELAK-DOBROWOLSKA;"RESTAURACJA ""ZIELONY SMOK""";GDA—SK;UL. SZEROKA;125;GASTRONOMIA;;
AKME ALEKSANDRA MUSIELAK-DOBROWOLSKA;WINIARIA LITERACKA;GDA—SK;UL. MARIACKA;50;GASTRONOMIA;52;
"OKR”J JOANNA,CHOROSZ ANDRZEJ ""EWAN""S.C.";"KLUB ""KABARET EWAN""";GDA—SK;UL. TKACKA;27;GASTRONOMIA;28;
RESTAURACJA MASALA S.C. W. SOROCZY—SKI S. AHUJA;RESTAURACJA MASALA;GDA—SK;UL. RAJSKA;10;GASTRONOMIA;;
RESTAURACJA MASALA S.C. W. SOROCZY—SKI S. AHUJA;"RESTAURACJA ""MANTRA""";GDA—SK;UL. KRYNICKA;7;GASTRONOMIA;;
"KLUB ØEGLARSKI ""KLIPPER"" SP. Z O.O.";"BAR ""KLIPPER""";GDA—SK;UL. JANTAROWA;7A;GASTRONOMIA;;
BALSAM CAFE S.C. GRZEGORZ PILARSKI, MICHA£ ZI”£KOWSKI;BAR BALSAM CAFE;GDA—SK;UL. PIWNA;66;GASTRONOMIA;64/65;
"P.H.U. ""PANORAMA"" S.C. M.KUZI—SKI, A.KUZI—SKI";RESTAURACJA PANORAMA;GDA—SK;UL. WA£Y PIASTOWSKIE;1;GASTRONOMIA;;
MACHANDEL P. CZEREPACHA, T. GROSS S.C.;RESTAURACJA NAD POTOKIEM;GDA—SK;UL. MORSKA;4;GASTRONOMIA;;
HOTEL ADMIRA£ SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;RESTAURACJA - BAR W HOTELU ADMIRA£;GDA—SK;UL. TOBIASZA;9;GASTRONOMIA;;
TEJST WINGERT I WSP”LNICY SP”£KA JAWNA;"BAR ""SURF BURGER""";GDA—SK;UL. S£UPSKA;28;GASTRONOMIA;;
TEJST WINGERT I WSP”LNICY SP”£KA JAWNA;"RESTAURACJA ""SURFBURGER""";GDA—SK;UL. GARNCARSKA;30;GASTRONOMIA;;
PROTOKULTURA KLUB SZTUKI ALTERNATYWNEJ WIKTOR DZIARKOWSKI;"BAR ""PROTOKULTURA""";GDA—SK;UL. DOKI;1;GASTRONOMIA;29;
WOJCIECH G”RECKI BAR DOMINIKA—SKI;"BAR ""DOMINIKA—SKI""";GDA—SK;UL. PLAC DOMINIKA—SKI;1;GASTRONOMIA;104;
ALKOTRAZ ADRIAN MEDIAS;BAR PRZEK•SKOWY;GDA—SK;UL. åW. DUCHA;14B;GASTRONOMIA;;
ELIKSIR SP”£KA CYWILNA MATEUSZ TRZECIAK,PAWE£ W•TOR;"COCTAIL BAR ""ELIKSIR""";GDA—SK;UL. MARIANA HEMARA;1;GASTRONOMIA;;
MY PASSIONS SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;"RESTAURACJA ""DA MARIO""";GDA—SK;UL. BOHATER”W GETTA WARSZAWSKIEGO;1;GASTRONOMIA;3;
ALWO S.C. ALEKSANDER PIECHOCI—SKI, WOJCIECH PIECHOCI—SKI;"RESTAURACJA ""DA GRASSO""";GDA—SK;UL. åWI TOKRZYSKA;21;GASTRONOMIA;5;
PUB POLUFKA KAZIMIERZ TYWUSIK;"PUB ""POLUFKA""";GDA—SK;UL. LECZKOWA;18;GASTRONOMIA;;
IZAKAYA  DREWNIAK,KONKIEL,ZIELI—SKI SP.J.;BAR SUSHI;GDA—SK;UL. SZAFARNIA;11;GASTRONOMIA;U 13;
WILD JACK SP. Z  O.O.;"BAR ""JACK'S STUDENTS & CLUB HI-FI""";GDA—SK;UL. STANIS£AWA WYSPIA—SKIEGO;5;GASTRONOMIA;;
"""SHANGHAI EXPRESS"" SP. Z O.O.";"RESTAURACJA ""SFINKS-WOOK""";GDA—SK;UL. Z£OTA KARCZMA;26;GASTRONOMIA;;
"BAR ""DERKACZ"" ANNA ROWI—SKA-ZAREMBSKA";"BAR ""DERKACZ""";GDA—SK;UL. ALEJA GEN. J”ZEFA HALLERA;277;GASTRONOMIA;;
MDMC SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;"PUB ""BRUDERSZAFT""";GDA—SK;UL. D£UGA;81;GASTRONOMIA;83;
MDMC SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;"KAWIARNIA ""LE—""";GDA—SK;UL. PIWNA;52;GASTRONOMIA;53;
I PAZZI  LEWANDOWSKI,BENTKOWSKI,SQUADRONI,D ANDREA SP”£KA JAWNA;"RESTAURACJA ""I PAZZI""";GDA—SK;UL. GARNCARSKA;4;GASTRONOMIA;6;
I PAZZI  LEWANDOWSKI,BENTKOWSKI,SQUADRONI,D ANDREA SP”£KA JAWNA;"RESTAURACJA ""I PAZZI""";GDA—SK;UL. PIWNA;52;GASTRONOMIA;53;
HUMMUSLAND S£AWOMIR KALKOWSKI;"BAR ""HUMMUSLAND""";GDA—SK;UL. KS. JERZEGO POPIE£USZKI;5;GASTRONOMIA;LOK. 1.12;
FAROS SP. Z O.O. SP. KOMANDYTOWA;RESTAURACJA W HOTELU FAROS;GDA—SK;UL. JULIUSZA S£OWACKIEGO;165;GASTRONOMIA;;
JEDNOSTKA KULTURY SP. Z O.O.;"BAR W KSI GARNI ""SZTUKA  WYBORU""";GDA—SK;UL. JULIUSZA S£OWACKIEGO;19;GASTRONOMIA;;
LAGARDERE TRAVEL RETAIL SP. Z O.O.;"LOKAL ""SO!COFFE""";GDA—SK;UL. S£OWACKIEGO;200;GASTRONOMIA;;
LAGARDERE TRAVEL RETAIL SP. Z O.O.;"RESTAURACJA ""THE FLAMES""";GDA—SK;UL. S£OWACKIEGO;200;GASTRONOMIA;;
BRH VERSUS SP. Z O.O. SP. KOMANDYTOWA;"KOMPLEKS GASTRONOMICZNY ""CENTRAL HOTEL""";GDA—SK;UL. PODWALE GRODZKIE;4;GASTRONOMIA;;
"""JAK SIE MASZ"" BISTRO A. STOLARSKI, A. ADAMSKA S.C.";"BISTRO ""JAK SIE MASZ?""";GDA—SK;UL. OPATA JACKA RYBI—SKIEGO;24;GASTRONOMIA;1B;
SEJLORFOKS SP”£KA Z O.O. SP”£KA KOMANDYTOWA;"RESTAURACJA ""NIEPOKORNI""";GDA—SK;UL. CHMIELNA;72;GASTRONOMIA;5;
CITY APART MANAGEMENT SP. Z O.O.;RESTAURACJA W HOTELU NUMBER ONE;GDA—SK;UL. JAGLANA;4;GASTRONOMIA;;
FIRMA GASTRONOMICZNA MAGAR MAREK WIOSNA;BAR SEZONOWY;;;;GASTRONOMIA;;GDA—SK, UL. FALOWA OBR. 139/ DZ. 225/8
GDA—SKI BOWKE A.KALE—SKI SP”£KA JAWNA;"KARCZMA PIWNA ""GDA—SKI BOWKE""";GDA—SK;UL. D£UGIE POBRZEØE;11;GASTRONOMIA;;
EMG MARCIN KADO;"CAFE BAR ""TYMCZASEM""";GDA—SK;UL. TKACKA;7;GASTRONOMIA;8;
HS SZYMON FALSKI;KAWIARNIA MI”D MELINA;GDA—SK;UL. LUDWIKA WARY—SKIEGO;21;GASTRONOMIA;;
ALICJA OLAS;TAWARENA POD £OSOSIEM;GDA—SK;UL. TRA£OWA;20;GASTRONOMIA;;
KALMAR AGNIESZKA  AJTEL KOPERSKA;SMAØALNIA RYB;GDA—SK;UL. BYTOWSKA;5;GASTRONOMIA;;
FGOOD&FUN PIOTR ØELICH;"RESTAURACJA ""RYØ""";GDA—SK;UL. STARY RYNEK OLIWSKI;2;GASTRONOMIA;;
OLIMAG MANUEL DOBRZY—SKI;"LOKAL ""IMBISS ISTANBUL""";GDA—SK;UL. EURYDYKI;1;GASTRONOMIA;3;
SPICHLERZ SP. Z O.O.;"BAR MLECZNY ""ST•GIEWNA""";GDA—SK;UL. ST•GIEWNA;15;GASTRONOMIA;1;
ATTRE KATARZYNA TOMASZEWSKA;"PIZZERIA ""DAVE'S PIZZA""";GDA—SK;UL. POMORSKA;10;GASTRONOMIA;;
GUGA S.C. EWA BERNAT, PAWE£ KUNACHOWICZ, MACIEJ SOBIESZCZAK;"RESTAURACJA ""GUGA SPICE""";GDA—SK;UL. STARA STOCZNIA;2;GASTRONOMIA;9;
SHSPIZZA SP. Z O.O.;"PIZZERIA ""DOMINO'S PIZZA""";GDA—SK;UL. CZERWONY DW”R;24;GASTRONOMIA;LU10;
KLATKA B AGATA PIWKO MAGDALENA KIRKLEWSKA (WSP”LNICY SP”£KI CYWILNEJ);"KAWIARNIA ""KLATKA B""";GDA—SK;UL. åWI TOJA—SKA;43;GASTRONOMIA;44;
AC POWER PIOTR PODP£O—SKI  CREPES NALEåNIKI PIOPTR PODP£O—SKI;"NALEåNIKARNIA  ""CREPES NALEåNIKI""";GDA—SK;UL. SZEROKA;48/49/1-80;GASTRONOMIA;;
T. DEKER PATISSIER & CHOCOLATER;"CUKIERNIA - KAWIARNIA ""T.DEKER""";GDA—SK;UL. ALEJA GRUNWALDZKA;141;GASTRONOMIA;;
W&N S.C. MARIUSZ W”JCIK, DARIUSZ W”JCIK, ANDRZEJ W”JCIK, DAMIAN NOWAKOWSKI;"RESTAURACJA ""CHLEB I WINO""";GDA—SK;UL. ST•GIEWNA;17;GASTRONOMIA;;
MAGMAR MARTA MICHALIK, MAGDALENA WYTRYKUS S.C.;"RESTAURACJA ""ZAUFAJNI""";GDA—SK;UL. GEN. AUGUSTA EMILA FIELDORFA;2;GASTRONOMIA;;
MARTA ØELIGOWSKA SI£A KREACJI;"PUNKT GASTRONOMICZNY ""BISTRO WCZASY""";GDA—SK;UL. WCZASY;8;GASTRONOMIA;;
RESTAURACJA STARA STOCZNIA  AGNIESZKA KOèLIKOWSKA  MIROS£AW KOèLIKOWSKI;"RESTAURACJA ""STARA STOCZNIA""";GDA—SK;UL. STARA STOCZNIA;4;GASTRONOMIA;4;
GABINET PSYCHOLOGICZNY KATARZYNA KOWALEWICZ-WIåNIEWSKA;"KLUBOKAWIARNIA ""JAB£ONIOWA CAFE""";GDA—SK;UL. JAB£ONIOWA;21;GASTRONOMIA;10;
RESTAURACJA WITOLD WESO£OWSKI;RESTAURACJA MANHATTAN;GDA—SK;UL. ALEJA GRUNWALDZKA;82;GASTRONOMIA;;
CD CAFE CYSDORF, KUBIAK SP”LKA JAWNA;"KAWIARNIA ""CD CAFE""";GDA—SK;UL. D£UGA;4;GASTRONOMIA;;
"""KIRKOR"" S.C. DANIELA KLATT , ARKADIUSZ KLATT";"RESTAURACJA ""KIRKOR""";GDA—SK;UL. S£OWACKIEGO;48;GASTRONOMIA;;
BAR GASTRONOMICZNY POD RYB• JAN ORCHOWSKI;"BAR ""POD RYB•""";GDA—SK;UL. PIWNA;61/63;GASTRONOMIA;;
BEST PUB MA£GORZATA KURCZEWSKA;"BAR ""BEST PUB""";GDA—SK;UL. KIELNIE—SKA;49;GASTRONOMIA;;
HOTEL LIVAL WALDEMAR TKACZ;"RESTAURACJA W HOTELU ""LIVAL""";GDA—SK;UL. M£ODZIEØY POLSKIEJ;10;GASTRONOMIA;12;
"""GRATO"" RUTKA TOMASZ";"BAR PIWNY ""GRATO""";GDA—SK;UL. NIEDèWIEDNIK;4;GASTRONOMIA;;
COCKNEY PUB J”ZEFA JANOWSKA;"PUB ""COCKNEY""";GDA—SK;UL. MISZEWSKIEGO;17;GASTRONOMIA;;
"RESTAURACJA ""ZIELONA PAPUGA""  ANNA JAREMA-ØYØUN";"RESTAURACJA ""ZIELONA PAPUGA""";GDA—SK;UL. JANA UPHAGENA;25;GASTRONOMIA;;
VILLA EVA - EWA KULCZYCKA;"RESTAURACJA ""VILLA EVA""";GDA—SK;UL. BATOREGO;28B;GASTRONOMIA;;
