NAZWA_PRZEDSIEBIORCY+A1:H1;NAZWA_PUNKTU;MIEJSCOWOSC;ULICA;NR_BUD;TYP_PUNKTU;NR_LOK;ADRES_OPISOWY
MEEA SP. Z O.O.;"RESTAURACJA ""WOZOWNIA GDA—SKA""";GDA—SK;UL. GRADOWA;8;GASTRONOMIA;;
FILIP CIECHORSKI SZTUKA KULINARNA;PIZZERIA LIPO PIZZA;GDA—SK;UL. FRANCISZKA HYNKA;57A;GASTRONOMIA;;
TAPAS - TOMASZ REGENBRECHT;BAR LA VIDA LOCA;GDA—SK;UL. STARA STOCZNIA;4;GASTRONOMIA;3;
NIESZTUKA WERONIKA SARNA;"RESTAURACJA ""NIESZTUKA""";GDA—SK;UL. MARIACKA;2;GASTRONOMIA;3;
UNIREST SP. Z O.O. SP.K.;RESTAURACJA W HOTELU HAMPTON BY HILTON;GDA—SK;UL. ALEJA GRUNWALDZKA;507;GASTRONOMIA;2;
ALIAKSANDR SHODA;"KAWIARNIA ""LE DELICE""";GDA—SK;UL. SZEROKA;86;GASTRONOMIA;87;
CREA JACEK JAGLI—SKI;"PIZZERIA ""01 PIZZARIUM""";GDA—SK;UL. PODWALE STAROMIEJSKIE;102B;GASTRONOMIA;;
"""POD KASZTANEM"" VIOLETTA KLIMCZUK";"RESTAURACJA ""POD KASZTANEM""";GDA—SK;UL. åWI TOKRZYSKA;58;GASTRONOMIA;;
FINO FOOD SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;"RESTAURACJA ""FINO"" W HOTELU APARTHOTEL NEPTUN";GDA—SK;UL. GRZ•SKA;1;GASTRONOMIA;;
ALPIT S.C. ALEKSANDRA £UKOWICZ, PIOTR CHWIERALSKI;"BAR ""BIOWAY""";GDA—SK;UL. TARG SIENNY;7;GASTRONOMIA;LOK. RE.2;
TRZEJ MINISTROWIE SP. Z O.O.;"PUB ""MINISTERSTWO åLEDZIA I W”DKI""";GDA—SK;UL. TARG DRZEWNY;3;GASTRONOMIA;7;
"PIZZERIA ""NAPOLI"" ROMAN W•SOWSKI";"RESTAURACJA ""SANTORINI""";GDA—SK;UL. D£UGA;37;GASTRONOMIA;39;
"""RB SC PASIBRZUCH"" RYSZARD KOKOSZKA, BOØENA MARKINDORF";"RESTAURACJA ""KWADRATOWA""";GDA—SK;UL. SIEDLICKA;4;GASTRONOMIA;;
NEW KANSAI SUSHI BAR BARTOSZ POLAK;"""NEW KANSAI SUSHI BAR""";GDA—SK;UL. HEWELIUSZA;13;GASTRONOMIA;;
